fecha,producto,categoria,cantidad,precio_unitario
2024-01-05,Laptop,Electrónica,3,15000.00
2024-01-12,Mouse,Electrónica,10,350.00
2024-01-20,Teclado,Electrónica,7,600.00
2024-01-28,Escritorio,Muebles,2,4500.00
2024-02-03,Laptop,Electrónica,5,15000.00
2024-02-10,Silla,Muebles,4,2200.00
2024-02-18,Monitor,Electrónica,6,4800.00
2024-02-25,Mouse,Electrónica,15,350.00
2024-03-04,Teclado,Electrónica,9,600.00
2024-03-11,Escritorio,Muebles,3,4500.00
2024-03-19,Laptop,Electrónica,4,15000.00
2024-03-26,Monitor,Electrónica,8,4800.00
2024-04-02,Silla,Muebles,6,2200.00
2024-04-09,Mouse,Electrónica,20,350.00
2024-04-17,Laptop,Electrónica,7,15000.00
2024-04-24,Teclado,Electrónica,11,600.00
2024-05-01,Escritorio,Muebles,4,4500.00
2024-05-08,Monitor,Electrónica,9,4800.00
2024-05-15,Silla,Muebles,5,2200.00
2024-05-22,Laptop,Electrónica,6,15000.00
2024-06-05,Mouse,Electrónica,18,350.00
2024-06-12,Teclado,Electrónica,8,600.00
2024-06-19,Escritorio,Muebles,2,4500.00
2024-06-26,Monitor,Electrónica,7,4800.00
